[2023.06.08 16:06:50.964] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:06:57.502] [HTTP] / (Method: GET, IP: ::1)
[2023.06.08 16:06:57.579] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:06:57.592] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:06:57.595] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:06:57.597] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:06:57.734] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.06.08 16:06:57.739] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\imj09\Desktop\dgcatholic-1\dgcatholic\favicon.ico'/n
[2023.06.08 16:07:05.664] [HTTP] /null (Method: GET, IP: ::1)
[2023.06.08 16:07:13.559] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:07:13.593] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:07:13.597] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:07:13.600] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:07:13.602] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:09:22.783] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:09:22.859] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:09:22.890] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:09:22.896] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:09:22.898] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:09:22.899] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:09:25.959] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:09:25.991] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:09:25.993] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:09:25.995] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:09:25.996] [HTTP] /client/build/bundle.js (Method: GET, IP: ::ffff:127.0.0.1)
[2023.06.08 16:09:26.515] [HTTP] /Main.page (Method: GET, IP: ::ffff:127.0.0.1)
[2023.06.08 16:09:26.547] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::ffff:127.0.0.1)
[2023.06.08 16:09:26.550] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:09:26.552] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:09:26.554] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:09:36.089] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:09:36.131] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:09:36.133] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:09:36.137] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:09:36.138] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:10.978] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:11:12.606] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:11:12.658] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:11:12.663] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:11:12.670] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:11:12.673] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:13.474] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.06.08 16:11:13.509] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:11:13.511] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:11:13.513] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:11:13.515] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:15.345] [HTTP] / (Method: GET, IP: ::1)
[2023.06.08 16:11:15.381] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.383] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.385] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.387] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:15.799] [HTTP] / (Method: GET, IP: ::1)
[2023.06.08 16:11:15.832] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.834] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.836] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:11:15.837] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:22.001] [HTTP] /client/build/ecf844521b87f0715fdb8575a6555df1.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.004] [HTTP] /client/build/39847fed0c3b625fd813d9e49b644a7a.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.006] [HTTP] /client/build/c2f83bf8a888b4ad0bf8030ee0a4f270.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.007] [HTTP] /client/build/2b92b288f0d07a4bdce8ead64bd47ffd.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.009] [HTTP] /client/build/d547aa4a1057ae386a472a2219b9620b.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.010] [HTTP] /client/build/68b1dd9be7004c0d9b4f3a7d766b3dfd.png (Method: GET, IP: ::1)
[2023.06.08 16:11:22.016] [HTTP] /client/build/c894b4b6b4db02820a7d1fd68b4b3f2d.png (Method: GET, IP: ::1)
[2023.06.08 16:11:55.277] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:11:56.924] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.06.08 16:11:56.968] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:11:56.973] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:11:56.977] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:11:56.980] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:11:58.022] [HTTP] /client/build/ecf844521b87f0715fdb8575a6555df1.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.024] [HTTP] /client/build/39847fed0c3b625fd813d9e49b644a7a.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.027] [HTTP] /client/build/c2f83bf8a888b4ad0bf8030ee0a4f270.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.029] [HTTP] /client/build/2b92b288f0d07a4bdce8ead64bd47ffd.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.035] [HTTP] /client/build/d547aa4a1057ae386a472a2219b9620b.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.038] [HTTP] /client/build/68b1dd9be7004c0d9b4f3a7d766b3dfd.png (Method: GET, IP: ::1)
[2023.06.08 16:11:58.040] [HTTP] /client/build/c894b4b6b4db02820a7d1fd68b4b3f2d.png (Method: GET, IP: ::1)
[2023.06.08 16:14:50.117] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:16:09.128] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:16:10.290] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.06.08 16:16:10.331] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:16:10.342] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:16:10.344] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:16:10.347] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:16:11.068] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.06.08 16:16:11.102] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:16:11.104] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:16:11.105] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:16:11.107] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:18:32.877] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:18:34.382] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.06.08 16:18:35.561] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:18:35.564] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:18:35.568] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:18:35.570] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:18:36.308] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.06.08 16:18:36.344] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:18:36.347] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:18:36.349] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:18:36.351] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:19:27.740] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.06.08 16:19:29.588] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.06.08 16:19:29.641] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.06.08 16:19:29.653] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.06.08 16:19:29.656] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.06.08 16:19:29.660] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.06.08 16:19:30.108] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
