[2023.05.27 13:22:03.065] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:22:03.067] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:22:03.067] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:22:03.258] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:22:03.268] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:22:03.269] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:22:03.270] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:22:03.271] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:22:25.625] [HTTP] /Visualization.page/StandardData2 (Method: GET, IP: ::1)
[2023.05.27 13:22:25.628] [Error:404] /Visualization.page/StandardData2/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\StandardData2'/n
[2023.05.27 13:22:27.198] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.27 13:22:27.208] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.209] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.212] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.214] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:22:27.455] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.27 13:22:27.466] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.467] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.468] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:22:27.468] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:25:13.059] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:25:13.070] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:25:13.071] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:25:13.072] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:25:13.073] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:25:59.998] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:26:00.010] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.012] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.015] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.017] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:26:00.592] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:26:00.602] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.603] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.604] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:26:00.605] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:26:17.437] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:26:17.450] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.452] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.453] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.454] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:26:17.706] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:26:17.716] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.717] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.718] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:26:17.719] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:14.717] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:14.729] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:14.731] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:14.734] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:14.735] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:15.252] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:15.264] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.266] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.268] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.269] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:15.397] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:15.409] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.412] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.413] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.414] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:15.533] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:15.544] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.545] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.547] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:15.548] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:22.205] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:22.218] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.220] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.222] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.224] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:22.469] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:22.482] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.484] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.485] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.487] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:22.629] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:22.644] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.647] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.649] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.650] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:28:22.774] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:28:22.788] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:28:22.790] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
