[2023.05.30 09:54:31.958] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.30 09:54:37.706] [HTTP] / (Method: GET, IP: ::1)
[2023.05.30 09:54:37.806] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.30 09:54:37.827] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.30 09:54:37.833] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.30 09:54:37.837] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.30 09:54:38.085] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.30 09:54:38.093] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\imj09\Desktop\dgcatholic-1\dgcatholic\favicon.ico'/n
[2023.05.30 10:20:37.918] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.30 10:20:38.001] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.30 10:20:38.012] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.30 10:20:38.019] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.30 10:20:38.022] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.30 10:20:44.013] [HTTP] / (Method: GET, IP: ::1)
[2023.05.30 10:20:44.077] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.30 10:20:44.083] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.30 10:20:44.087] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.30 10:20:44.090] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.30 10:25:59.225] [HTTP] /null (Method: GET, IP: ::1)
[2023.05.30 10:26:28.163] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.30 10:26:28.166] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.30 10:26:28.169] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.30 10:26:28.262] [HTTP] /null (Method: GET, IP: ::1)
