[2023.05.28 00:04:56.438] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:56.439] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:56.958] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:56.971] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:56.973] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:56.975] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:56.976] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:57.134] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:57.146] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.150] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.151] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.152] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:57.318] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:57.329] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.330] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.331] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.333] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:57.488] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:57.499] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.501] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.502] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.503] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:57.646] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:57.659] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.660] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.661] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.662] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:04:57.888] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:04:57.899] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:04:57.902] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
