[2023.05.12 13:19:38.930] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:19:38.934] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:19:38.935] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:21:38.312] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:21:44.091] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:21:44.108] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:21:44.110] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:21:44.111] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:22:36.159] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:22:36.180] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:22:36.182] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:22:36.184] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:22:53.578] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:22:53.595] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:22:53.597] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:22:53.600] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:23:40.183] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:23:40.202] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:23:40.204] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:23:40.205] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:24:19.061] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:24:19.087] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:24:19.089] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:24:19.090] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:24:43.434] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 13:24:44.643] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:24:44.662] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:24:44.663] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:24:44.664] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:25:08.219] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:25:09.529] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:25:09.541] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:25:09.544] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:25:09.545] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:26:09.277] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:26:09.286] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:26:09.287] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:26:09.289] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:26:09.928] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:26:09.941] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:26:09.944] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:26:09.946] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:26:44.068] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:26:45.464] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:26:45.483] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:26:45.485] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:26:45.486] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:27:08.885] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:27:08.899] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:27:08.900] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:27:08.901] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:28:01.656] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:28:01.657] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:29:03.245] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:29:03.260] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:29:03.261] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:29:03.262] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:29:35.981] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:29:35.998] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:29:36.004] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:29:36.005] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:34:47.933] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:35:18.399] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:35:18.411] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:35:18.414] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:35:18.420] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:39:10.801] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:39:10.823] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:39:10.828] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:39:10.830] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:39:13.233] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:39:15.964] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:39:15.995] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:39:15.997] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:39:15.999] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:39:57.465] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:39:58.279] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:39:59.979] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:40:00.007] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:40:00.009] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:40:00.011] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:40:02.623] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:40:10.742] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:40:13.739] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:40:31.318] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:40:38.010] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:40:38.027] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:40:38.030] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:40:38.032] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:41:32.765] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:41:35.556] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:41:35.578] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:41:35.580] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:41:35.583] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:41:36.471] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:41:36.493] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:41:36.495] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:41:36.496] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:41:39.651] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:41:47.111] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:41:47.945] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:41:49.703] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 13:41:52.373] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:42:41.902] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:42:41.928] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:42:41.934] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:42:41.936] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:42:48.099] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:43:19.501] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:43:22.189] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:43:22.207] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:43:22.209] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:43:22.211] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:43:28.074] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.12 13:43:56.462] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:44:03.197] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:44:03.832] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:44:06.377] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:44:06.397] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:44:06.399] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:44:06.401] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:44:13.432] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:46:30.005] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:46:33.016] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:46:33.034] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:46:33.036] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:46:33.037] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:46:33.155] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.12 13:46:33.158] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\금오공대\favicon.ico'/n
[2023.05.12 13:46:33.809] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:46:33.830] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:46:33.832] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:46:33.834] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:46:34.392] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:46:34.409] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:46:34.410] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:46:34.411] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:46:36.261] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:46:44.539] [HTTP] /Main (Method: GET, IP: ::1)
[2023.05.12 13:46:49.845] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:46:52.192] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 13:46:54.597] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:48:54.261] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:48:56.758] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:48:56.794] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:48:56.798] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:48:56.799] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:48:58.276] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:48:58.299] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:48:58.302] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:48:58.304] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:55:37.688] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.12 13:55:50.558] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:55:50.584] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:55:50.586] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:55:50.587] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:55:53.036] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:56:28.003] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:56:28.037] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:56:28.041] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:56:28.050] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:56:30.724] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:56:31.983] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:56:37.597] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:58:00.875] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:58:42.264] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:58:50.736] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:58:50.766] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:58:50.772] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:58:50.782] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:58:52.390] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:58:52.420] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:58:52.422] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:58:52.424] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:58:52.522] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.12 13:58:52.524] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\금오공대\favicon.ico'/n
[2023.05.12 13:58:53.419] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:58:53.440] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:58:53.442] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:58:53.443] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:58:54.129] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:58:54.148] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:58:54.152] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:58:54.154] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:58:58.838] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:00.566] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:59:00.588] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:59:00.589] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:59:00.591] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:59:02.200] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:59:02.224] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:59:02.227] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:59:02.229] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:59:03.060] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:03.754] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:04.723] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:05.101] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:06.966] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:08.422] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:08.766] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:08.987] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 13:59:09.723] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:09.919] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:10.060] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:10.230] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:10.395] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 13:59:15.836] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 13:59:15.882] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 13:59:15.884] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 13:59:15.885] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 14:02:32.509] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.12 14:03:03.663] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 14:03:03.713] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:03:03.718] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 14:03:03.720] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 14:03:03.819] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.12 14:03:03.822] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\kumoh\favicon.ico'/n
[2023.05.12 14:03:07.023] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.12 14:03:07.051] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:03:07.052] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 14:03:07.053] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 14:03:12.900] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 14:03:12.927] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:03:12.929] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 14:03:12.932] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 14:19:12.668] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:19:12.670] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 14:20:07.383] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 14:20:07.399] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:20:07.401] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 14:20:07.404] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 14:26:20.023] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.12 14:26:20.035] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 14:26:20.036] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
