[2023.05.15 00:00:15.685] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:00:15.699] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:00:15.701] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:00:15.702] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:00:15.702] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:01:38.320] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:01:38.329] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:01:38.330] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:01:38.337] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:01:38.338] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:02:35.068] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:02:35.076] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:02:35.077] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:02:35.078] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:02:35.079] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:16.727] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:16.739] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:16.741] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:16.743] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:16.744] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:17.572] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:17.581] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:17.582] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:17.583] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:17.583] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:18.352] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:18.365] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:18.366] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:18.367] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:18.369] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:20.153] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:20.165] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.166] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.167] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.168] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:20.822] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:20.832] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.833] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.834] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:20.835] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:21.292] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:21.303] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:21.304] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:21.305] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:21.306] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:03:37.974] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:03:37.982] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:03:37.984] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:03:37.985] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:03:37.986] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:04:39.650] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:04:39.661] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.15 00:04:39.663] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.15 00:04:39.664] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.15 00:04:39.666] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.15 00:04:49.171] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.15 00:04:49.180] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
