[2023.05.25 10:10:06.729] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:06.744] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:06.747] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:06.749] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:06.750] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:07.375] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:07.389] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.390] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.391] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.392] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:07.560] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:07.574] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.576] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.577] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:07.578] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:09.527] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:09.540] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:09.542] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:09.543] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:09.545] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:15.582] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:15.593] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:15.597] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:15.598] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:15.599] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:16.039] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:16.050] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.051] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.052] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.054] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:16.214] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:16.230] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.235] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.237] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.239] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.25 10:10:16.526] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.25 10:10:16.538] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.539] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.25 10:10:16.541] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
