[2023.05.17 10:41:01.767] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.17 10:42:39.662] [HTTP] / (Method: GET, IP: ::1)
[2023.05.17 10:42:39.700] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 10:42:39.709] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 10:42:39.711] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 10:42:39.713] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 10:42:39.797] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.17 10:42:39.803] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\favicon.ico'/n
[2023.05.17 10:58:08.897] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.17 10:58:08.914] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 10:58:08.917] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 10:58:08.920] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 10:58:08.922] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 11:17:18.464] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.17 11:17:18.481] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 11:17:18.482] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 11:17:18.483] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 11:17:18.484] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 11:21:36.286] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.17 11:21:36.301] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 11:21:36.304] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 11:21:36.306] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 11:21:36.307] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 13:45:58.724] [HTTP] /Datalist.page (Method: GET, IP: ::1)
[2023.05.17 13:45:58.737] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 13:45:58.739] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 13:45:58.740] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 13:45:58.742] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 13:46:18.275] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.17 13:46:18.287] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 13:46:18.288] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 13:46:18.289] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 13:46:18.290] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 13:51:32.413] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.17 13:51:32.427] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 13:51:32.429] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 13:51:32.431] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 13:51:32.433] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 13:58:40.262] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.17 13:58:40.277] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 13:58:40.279] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 13:58:40.282] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.17 13:58:40.284] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.17 13:59:02.806] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.17 13:59:02.819] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.17 13:59:02.821] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.17 13:59:02.823] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
