[2023.05.24 11:01:07.533] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.24 11:01:20.517] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.24 11:01:20.651] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:01:20.657] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:01:20.660] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:01:20.679] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:01:20.947] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.24 11:01:20.953] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\younghyeon\Desktop\dgcatholic2\favicon.ico'/n
[2023.05.24 11:01:25.404] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:01:25.431] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:01:25.435] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:01:25.439] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:01:25.442] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:01:25.523] [HTTP] /api/database (Method: GET, IP: ::1)
[2023.05.24 11:02:44.973] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:02:45.000] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:02:45.004] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:02:45.008] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:02:45.011] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:02:45.102] [HTTP] /api/database (Method: GET, IP: ::1)
[2023.05.24 11:38:02.235] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:38:02.247] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:38:02.252] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:38:02.255] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:38:02.363] [HTTP] /api/database (Method: GET, IP: ::1)
[2023.05.24 11:42:00.897] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:00.913] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:00.915] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:00.917] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:00.919] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:02.217] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:02.233] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:02.236] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:02.238] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:02.240] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:04.470] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:04.488] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:04.491] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:04.494] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:04.496] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:05.610] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:05.624] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:05.627] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:05.629] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:05.632] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:08.524] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:08.538] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:08.543] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:08.545] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:08.547] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:09.733] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:09.754] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:09.759] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:09.761] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:09.763] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:48.495] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:48.510] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:48.512] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:48.514] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:48.519] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:49.596] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:49.613] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.615] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.618] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.620] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:49.750] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:49.765] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.768] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:49.771] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.774] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.910] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:49.925] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.927] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:49.930] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:49.931] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.082] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:50.096] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.099] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.101] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.104] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:50.528] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:50.541] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.543] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.544] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.546] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:50.679] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:50.694] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.696] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.698] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.700] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:50.844] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:50.861] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.862] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.864] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:50.868] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:51.023] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:51.049] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.052] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.054] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.056] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:51.161] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:51.183] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.187] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.190] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.192] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:51.318] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:51.342] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.346] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.349] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.353] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:51.475] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:51.497] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.501] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.505] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.507] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:51.624] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:51.651] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.653] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.656] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:51.658] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:42:52.678] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:42:52.690] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:42:52.692] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:42:52.695] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:42:52.696] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:48:54.787] [HTTP] / (Method: GET, IP: ::1)
[2023.05.24 11:48:54.812] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:48:54.815] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:48:54.818] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:48:54.821] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:49:08.613] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.24 11:49:08.780] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:49:08.783] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:49:08.785] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:49:08.807] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:49:14.463] [HTTP] /DB.page (Method: GET, IP: ::1)
[2023.05.24 11:49:14.484] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:49:14.488] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:49:14.491] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
