[2023.05.22 10:24:43.092] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:24:43.093] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:24:43.093] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:27:46.239] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.22 10:27:46.251] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.253] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.254] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.255] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:27:46.853] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.22 10:27:46.867] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.868] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.869] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:27:46.870] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:30:04.138] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.22 10:30:04.155] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:30:04.156] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:30:04.158] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:30:04.159] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:30:05.221] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.22 10:30:05.230] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:30:05.231] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:30:05.232] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:30:05.233] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:30:54.522] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 10:30:54.542] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:30:54.543] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:30:54.544] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:30:54.544] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:30:57.757] [HTTP] /Filestandard.page (Method: GET, IP: ::1)
[2023.05.22 10:30:57.770] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:30:57.772] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:30:57.772] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 10:30:57.773] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 10:49:11.819] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.22 10:49:11.842] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 10:49:11.852] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 10:49:11.854] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
