[2023.05.23 11:01:08.262] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.264] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:08.899] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:08.919] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.922] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.924] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.926] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:09.327] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:09.354] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:09.357] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:09.358] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:09.360] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:09.532] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:09.568] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:09.570] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:09.572] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:09.574] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:27:18.498] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:27:18.501] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:27:18.503] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:02.659] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:02.675] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:02.676] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:02.679] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:02.682] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:21.169] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:21.188] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.191] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.195] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.197] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:21.759] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:21.776] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.779] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.781] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.783] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:21.914] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:21.933] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.935] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:21.938] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:21.940] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:22.119] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:22.137] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:22.139] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:22.142] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:22.145] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.070] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:56.087] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.090] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.092] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.094] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:56.250] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:56.267] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.269] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.271] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.273] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:28:56.406] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:28:56.421] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.422] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.424] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:28:56.427] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:58:21.649] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 11:58:21.668] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:58:21.671] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:58:21.674] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:58:21.679] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:02:34.729] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:02:34.747] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:02:34.751] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:02:34.752] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:02:34.753] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:02.299] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:02.315] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.317] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.322] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.324] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:02.496] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:02.523] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.525] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.527] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:02.529] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:03.487] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:03.506] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:03.508] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:03.510] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:03.511] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:10.818] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:10.833] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:10.836] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:10.839] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:10.841] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:10.995] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:11.011] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.014] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.016] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.019] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:11.220] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:11.237] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.239] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.241] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.243] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:07:11.366] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:07:11.383] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.385] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.387] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:07:11.389] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:14.551] [HTTP] /Bubblechart.page (Method: GET, IP: ::1)
[2023.05.23 12:11:14.565] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:14.567] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:14.570] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:14.572] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:17.941] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 12:13:17.967] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:17.974] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:17.976] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:17.979] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:17:51.775] [HTTP] /Visualization.page (Method: GET, IP: ::1)
[2023.05.23 12:17:51.795] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:17:51.798] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:17:51.801] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:17:51.803] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:17:53.115] [HTTP] /Visualization.page (Method: GET, IP: ::1)
[2023.05.23 12:17:53.134] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:17:53.138] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:17:53.140] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:17:53.143] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:18:17.064] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 12:18:17.092] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:18:17.096] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:18:17.099] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:18:17.101] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 13:42:24.327] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.23 13:42:31.082] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 13:42:31.138] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 13:42:31.148] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 13:42:31.159] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 13:42:31.164] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:04:02.399] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.23 14:04:10.951] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 14:04:11.340] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:04:11.349] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:04:11.356] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:04:11.360] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:04:13.417] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.23 14:04:13.430] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\younghyeon\Desktop\dgcatholic2\favicon.ico'/n
[2023.05.23 14:06:18.317] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.23 14:06:18.341] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 14:06:18.344] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 14:06:18.349] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 14:06:18.352] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 14:09:46.879] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
