[2023.05.18 11:58:16.378] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 11:58:16.380] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 11:58:16.381] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 11:59:58.306] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 11:59:58.321] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 11:59:58.323] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 11:59:58.324] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 11:59:58.327] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 14:40:44.407] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 14:40:44.420] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 14:40:44.423] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 14:40:44.425] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 14:40:44.426] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 14:47:44.841] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 14:47:44.855] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 14:47:44.856] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 14:47:44.858] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 14:47:44.859] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 14:59:34.873] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 14:59:34.886] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 14:59:34.887] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 14:59:34.888] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 14:59:34.889] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 14:59:44.175] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 14:59:44.188] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 14:59:44.190] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 14:59:44.191] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 14:59:44.194] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:01:56.505] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:01:56.517] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:01:56.519] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
